"id","title","description","link","image_link","additional_image_link","price","availability","condition","brand","google_product_category","product_type","item_group_id","color","size","material"
"lum-011-16","The Cascade Wave - Natural Black - 16inch/40cm","A deep-wave human-hair wig with a full, defined texture and transparent 13x6 lace. The longer lace area offers flexible parting, while the adjustable cap helps you refine the fit.","https://arelvienne.com/cascade-deep-wave-human-hair-wig.html?variant=lum-011-16&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-011-16","https://arelvienne.com/images/lum-011/main_01.webp","https://arelvienne.com/images/lum-011/main_02.webp,https://arelvienne.com/images/lum-011/main_03.webp,https://arelvienne.com/images/lum-011/main_04.webp,https://arelvienne.com/images/lum-011/main_05.webp","309.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-011","Natural Black","16inch/40cm","Human Hair"
"lum-011-20","The Cascade Wave - Natural Black - 20inch/50cm","A deep-wave human-hair wig with a full, defined texture and transparent 13x6 lace. The longer lace area offers flexible parting, while the adjustable cap helps you refine the fit.","https://arelvienne.com/cascade-deep-wave-human-hair-wig.html?variant=lum-011-20&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-011-20","https://arelvienne.com/images/lum-011/main_01.webp","https://arelvienne.com/images/lum-011/main_02.webp,https://arelvienne.com/images/lum-011/main_03.webp,https://arelvienne.com/images/lum-011/main_04.webp,https://arelvienne.com/images/lum-011/main_05.webp","379.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-011","Natural Black","20inch/50cm","Human Hair"
"lum-011-24","The Cascade Wave - Natural Black - 24inch/60cm","A deep-wave human-hair wig with a full, defined texture and transparent 13x6 lace. The longer lace area offers flexible parting, while the adjustable cap helps you refine the fit.","https://arelvienne.com/cascade-deep-wave-human-hair-wig.html?variant=lum-011-24&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-011-24","https://arelvienne.com/images/lum-011/main_01.webp","https://arelvienne.com/images/lum-011/main_02.webp,https://arelvienne.com/images/lum-011/main_03.webp,https://arelvienne.com/images/lum-011/main_04.webp,https://arelvienne.com/images/lum-011/main_05.webp","499.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-011","Natural Black","24inch/60cm","Human Hair"
"lum-011-28","The Cascade Wave - Natural Black - 28inch/70cm","A deep-wave human-hair wig with a full, defined texture and transparent 13x6 lace. The longer lace area offers flexible parting, while the adjustable cap helps you refine the fit.","https://arelvienne.com/cascade-deep-wave-human-hair-wig.html?variant=lum-011-28&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-011-28","https://arelvienne.com/images/lum-011/main_01.webp","https://arelvienne.com/images/lum-011/main_02.webp,https://arelvienne.com/images/lum-011/main_03.webp,https://arelvienne.com/images/lum-011/main_04.webp,https://arelvienne.com/images/lum-011/main_05.webp","679.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-011","Natural Black","28inch/70cm","Human Hair"
"lum-010-10-150","The Platinum Bob - #613 Platinum - 10inch/25cm - 150%","A straight #613 blonde human-hair bob with transparent 13x4 lace. Choose from 10- and 12-inch lengths with two density options for a shorter, polished silhouette.","https://arelvienne.com/platinum-blonde-bob-wig.html?variant=lum-010-10-150&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-010-10-150","https://arelvienne.com/images/lum-010/main_01.webp","https://arelvienne.com/images/lum-010/main_02.webp,https://arelvienne.com/images/lum-010/main_03.webp,https://arelvienne.com/images/lum-010/main_04.webp,https://arelvienne.com/images/lum-010/main_05.webp","229.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-010","Platinum Blonde","10inch/25cm","Human Hair"
"lum-010-10-180","The Platinum Bob - #613 Platinum - 10inch/25cm - 180%","A straight #613 blonde human-hair bob with transparent 13x4 lace. Choose from 10- and 12-inch lengths with two density options for a shorter, polished silhouette.","https://arelvienne.com/platinum-blonde-bob-wig.html?variant=lum-010-10-180&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-010-10-180","https://arelvienne.com/images/lum-010/main_01.webp","https://arelvienne.com/images/lum-010/main_02.webp,https://arelvienne.com/images/lum-010/main_03.webp,https://arelvienne.com/images/lum-010/main_04.webp,https://arelvienne.com/images/lum-010/main_05.webp","259.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-010","Platinum Blonde","10inch/25cm","Human Hair"
"lum-010-12-150","The Platinum Bob - #613 Platinum - 12inch/30cm - 150%","A straight #613 blonde human-hair bob with transparent 13x4 lace. Choose from 10- and 12-inch lengths with two density options for a shorter, polished silhouette.","https://arelvienne.com/platinum-blonde-bob-wig.html?variant=lum-010-12-150&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-010-12-150","https://arelvienne.com/images/lum-010/main_01.webp","https://arelvienne.com/images/lum-010/main_02.webp,https://arelvienne.com/images/lum-010/main_03.webp,https://arelvienne.com/images/lum-010/main_04.webp,https://arelvienne.com/images/lum-010/main_05.webp","259.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-010","Platinum Blonde","12inch/30cm","Human Hair"
"lum-010-12-180","The Platinum Bob - #613 Platinum - 12inch/30cm - 180%","A straight #613 blonde human-hair bob with transparent 13x4 lace. Choose from 10- and 12-inch lengths with two density options for a shorter, polished silhouette.","https://arelvienne.com/platinum-blonde-bob-wig.html?variant=lum-010-12-180&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-010-12-180","https://arelvienne.com/images/lum-010/main_01.webp","https://arelvienne.com/images/lum-010/main_02.webp,https://arelvienne.com/images/lum-010/main_03.webp,https://arelvienne.com/images/lum-010/main_04.webp,https://arelvienne.com/images/lum-010/main_05.webp","289.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-010","Platinum Blonde","12inch/30cm","Human Hair"
"lum-009-16-150","The Signature Straight - Natural Black - 16inch/40cm - 150%","A straight human-hair wig with transparent 13x6 lace and flexible parting space. Available in 150% and 180% density at 16, 20, and 24 inches.","https://arelvienne.com/signature-straight-human-hair-wig.html?variant=lum-009-16-150&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-009-16-150","https://arelvienne.com/images/lum-009/main_01.webp","https://arelvienne.com/images/lum-009/main_02.webp,https://arelvienne.com/images/lum-009/main_03.webp,https://arelvienne.com/images/lum-009/main_04.webp,https://arelvienne.com/images/lum-009/main_05.webp","289.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-009","Natural Black","16inch/40cm","Human Hair"
"lum-009-16-180","The Signature Straight - Natural Black - 16inch/40cm - 180%","A straight human-hair wig with transparent 13x6 lace and flexible parting space. Available in 150% and 180% density at 16, 20, and 24 inches.","https://arelvienne.com/signature-straight-human-hair-wig.html?variant=lum-009-16-180&utm_source=pinterest&utm_medium=organic_shopping&utm_campaign=product_catalog&utm_content=lum-009-16-180","https://arelvienne.com/images/lum-009/main_01.webp","https://arelvienne.com/images/lum-009/main_02.webp,https://arelvienne.com/images/lum-009/main_03.webp,https://arelvienne.com/images/lum-009/main_04.webp,https://arelvienne.com/images/lum-009/main_05.webp","319.00 USD","in stock","new","ARELVIENNE","181","Hair Extensions & Wigs > Wigs","lum-009","Natural Black","16inch/40cm","Human Hair"
